section,parent_index,case_id,group,family,allocated_images,parent_row_sha256,state,universal_lower,universal_upper,attained_lower,attained_upper
primary_rows,2860,all-64,primary,current_partial,64,5fa0973650267de5e790994e9cd6386d927139ddfe881f176faaf2a73d69aab6,same_presence_opposite_decisions,-17/64,1/64,-17/64,1/64
primary_rows,2888,all-64,primary,current_partial,64,1875b3ba5ac883bac2132b794fd19ec49c2feb1a6d15cb7993ead5d4c0b75969,same_presence_opposite_decisions,-17/64,1/64,-17/64,1/64
primary_rows,2895,all-64,primary,current_partial,64,dd48831cf159ea1f229696f4ea999d191f79f62722131129831bdf50c20d242e,same_presence_opposite_decisions,-1/4,1/32,-1/4,1/32
primary_rows,2902,all-64,primary,current_partial,64,58853a3e03c49cbf532d762d685c70ea46d842c5f5981f70145b40c14471d7d7,same_presence_opposite_decisions,-15/64,3/64,-15/64,3/64
primary_rows,2909,all-64,primary,current_partial,64,ae2605cccfcdc2b2db3a139a0a49daa348cbfa66c0935d0c920002e1c323374a,same_presence_opposite_decisions,-1/4,1/32,-1/4,1/32
primary_rows,2916,all-64,primary,current_partial,64,ef2b8c98dc3e8e1b2bd58e83d2a0e700d91edca9304b464ed49929e2474c9848,same_presence_opposite_decisions,-17/64,1/64,-17/64,1/64
primary_rows,2923,all-64,primary,current_partial,64,5399581cd5728510864f564eda26d171d60698c047b1dcbe24c47ac5e466dbb7,same_presence_opposite_decisions,-1/4,1/32,-1/4,1/32
primary_rows,2930,all-64,primary,current_partial,64,1b07d481c1f1f64655e84b3544a4196185ef845465eac54240f0cbf0b1919ca1,same_presence_opposite_decisions,-17/64,1/64,-17/64,1/64
primary_rows,2937,all-64,primary,current_partial,64,b473d1745ba50a2907e09b2ac9f82a63d1ddc113f16d9212346d7f7bfde708a0,same_presence_opposite_decisions,-1/4,1/32,-1/4,1/32
primary_rows,2944,all-64,primary,current_partial,64,a0209b534dbe2b2b3ea760a4b03e1d47e84e856f12d932a240d62dec3461ea5b,same_presence_opposite_decisions,-15/64,3/64,-15/64,3/64
primary_rows,2951,all-64,primary,current_partial,64,f041b478dcb3e38cc4c91820518606f056a7d85f4ced677dd292974f0f4d5e52,same_presence_opposite_decisions,-7/32,1/16,-7/32,1/16
primary_rows,2958,all-64,primary,current_partial,64,170224a5e446c0b0870bf8e637427bbd52982be7f6635716d4d27f4f49c911cf,same_presence_opposite_decisions,-13/64,5/64,-13/64,5/64
primary_rows,2965,all-64,primary,current_partial,64,278390f875b130a603f74c45c55099995a72a89028fb9870fd9ab7f04163ce25,same_presence_opposite_decisions,-7/32,1/16,-7/32,1/16
