false_positive_budget,old_state,new_state,old_minimum_misses,new_minimum_misses,old_attained_cell_ids,new_attained_cell_ids,miss_difference_old_minus_new,comparison
228,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
229,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
230,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
231,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
232,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
233,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
234,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
235,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
236,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
237,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
238,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
239,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
240,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
241,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
242,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
243,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
244,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
245,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
246,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
247,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
248,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
249,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
250,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
251,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
252,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
253,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
254,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
255,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
256,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
257,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
258,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
259,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
260,available,available,135,156,cell-0000 cell-0001,cell-0000,-21,old_fewer_misses
