cell_id,threshold_left,threshold_right,left_closed,right_closed,case_id,group,family,allocated_images,blocked_image_count,decision,evidence,mean_lower,mean_upper,attained_lower,attained_upper
cell-0015,2646734416484833/10000000000000000,2654964029788971/10000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,15/32,15/32,15/32,15/32
cell-0015,2646734416484833/10000000000000000,2654964029788971/10000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-3/2,21/8,-45/32,81/32
cell-0015,2646734416484833/10000000000000000,2654964029788971/10000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,13/32,17/32,13/32,17/32
cell-0015,2646734416484833/10000000000000000,2654964029788971/10000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0015,2646734416484833/10000000000000000,2654964029788971/10000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-3/4,23/16,-15/32,33/32
cell-0015,2646734416484833/10000000000000000,2654964029788971/10000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0015,2646734416484833/10000000000000000,2654964029788971/10000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0016,2654964029788971/10000000000000000,1334129273891449/5000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,29/64,29/64,29/64,29/64
cell-0016,2654964029788971/10000000000000000,1334129273891449/5000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-97/64,167/64,-89/64,161/64
cell-0016,2654964029788971/10000000000000000,1334129273891449/5000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,25/64,33/64,25/64,33/64
cell-0016,2654964029788971/10000000000000000,1334129273891449/5000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0016,2654964029788971/10000000000000000,1334129273891449/5000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-49/64,91/64,-31/64,65/64
cell-0016,2654964029788971/10000000000000000,1334129273891449/5000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0016,2654964029788971/10000000000000000,1334129273891449/5000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0017,1334129273891449/5000000000000000,66724494099617/250000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,7/16,7/16,7/16,7/16
cell-0017,1334129273891449/5000000000000000,66724494099617/250000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-49/32,83/32,-45/32,5/2
cell-0017,1334129273891449/5000000000000000,66724494099617/250000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,3/8,1/2,3/8,1/2
cell-0017,1334129273891449/5000000000000000,66724494099617/250000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0017,1334129273891449/5000000000000000,66724494099617/250000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-25/32,45/32,-1/2,1
cell-0017,1334129273891449/5000000000000000,66724494099617/250000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0017,1334129273891449/5000000000000000,66724494099617/250000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0018,66724494099617/250000000000000,2670556604862213/10000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,27/64,27/64,27/64,27/64
cell-0018,66724494099617/250000000000000,2670556604862213/10000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-99/64,165/64,-91/64,159/64
cell-0018,66724494099617/250000000000000,2670556604862213/10000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,23/64,31/64,23/64,31/64
cell-0018,66724494099617/250000000000000,2670556604862213/10000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0018,66724494099617/250000000000000,2670556604862213/10000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-51/64,89/64,-31/64,63/64
cell-0018,66724494099617/250000000000000,2670556604862213/10000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0018,66724494099617/250000000000000,2670556604862213/10000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0019,2670556604862213/10000000000000000,26822352409362793/100000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,7/16,7/16,7/16,7/16
cell-0019,2670556604862213/10000000000000000,26822352409362793/100000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-49/32,83/32,-45/32,79/32
cell-0019,2670556604862213/10000000000000000,26822352409362793/100000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,3/8,1/2,3/8,1/2
cell-0019,2670556604862213/10000000000000000,26822352409362793/100000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0019,2670556604862213/10000000000000000,26822352409362793/100000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-25/32,45/32,-15/32,31/32
cell-0019,2670556604862213/10000000000000000,26822352409362793/100000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0019,2670556604862213/10000000000000000,26822352409362793/100000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0020,26822352409362793/100000000000000000,5390428900718689/20000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,27/64,27/64,27/64,27/64
cell-0020,26822352409362793/100000000000000000,5390428900718689/20000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-99/64,165/64,-91/64,157/64
cell-0020,26822352409362793/100000000000000000,5390428900718689/20000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,23/64,31/64,23/64,31/64
cell-0020,26822352409362793/100000000000000000,5390428900718689/20000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0020,26822352409362793/100000000000000000,5390428900718689/20000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-51/64,89/64,-31/64,61/64
cell-0020,26822352409362793/100000000000000000,5390428900718689/20000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0020,26822352409362793/100000000000000000,5390428900718689/20000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0021,5390428900718689/20000000000000000,6791350245475769/25000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,13/32,13/32,13/32,13/32
cell-0021,5390428900718689/20000000000000000,6791350245475769/25000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-49/32,41/16,-45/32,39/16
