population,arm,order,probability,exact_stop,exact_decision,stat_stop,stat_decision,stat_reason,e_lower_at_stop,e_upper_at_stop,lower_ever_crossed,upper_ever_crossed
point_positive,uniform,210543,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,213045,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,213054,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,213405,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,213450,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,213504,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,213540,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,214035,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,214053,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,214305,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,214350,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,214503,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,214530,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,215034,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,215043,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,215304,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,215340,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,215403,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,215430,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,230145,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,230154,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,230415,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,230451,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
